club,ranking,expenditure,Numerical Expenditure
Manchester City,1,€1.03bn,1030000000.0
Bayern Munich,2,€540.25m,540250000.0
Barcelona,3,€1.15bn,1150000000.0
Real Madrid,4,€671.75m,671750000.0
Liverpool,5,€674.60m,674600000.0
Arsenal,6,€839.10m,839100000.0
Newcastle,7,€534.00m,534000000.0
Napoli,8,€522.72m,522720000.0
Borussia Dortmund,9,€566.34m,566340000.0
RB Leipzig,11,€479.25m,479250000.0
Benfica,12,€360.96m,360960000.0
Aston Villa,13,€512.69m,512690000.0
Paris Saint-Germain,15,€895.50m,895500000.0
Manchester United,16,€986.98m,986980000.0
Ajax,18,€332.65m,332650000.0
Lille,19,€296.53m,296530000.0
Brentford,20,€148.02m,148020000.0
Real Sociedad,21,€134.75m,134750000.0
Sporting CP,22,€236.17m,236170000.0
FC Porto,23,€232.86m,232860000.0
Chelsea,24,€1.49bn,1490000000.0
Feyenoord,25,€93.32m,93320000.0
Lyon,26,€322.91m,322910000.0
Athletic Bilbao,29,€76.90m,76900000.0
Celtic,30,€127.86m,127860000.0
Fiorentina,32,€355.30m,355300000.0
Marseille,34,€341.94m,341940000.0
PSV,35,€126.65m,126650000.0
Crystal Palace,36,€230.02m,230020000.0
Villarreal,37,€280.28m,280280000.0
Lens,38,€94.94m,94940000.0
AC Milan,39,€685.00m,685000000.0
AS Roma,40,€583.80m,583800000.0
Tottenham Hotspur,43,€655.80m,655800000.0
Rangers,44,€66.44m,66440000.0
Eintracht Frankfurt,45,€182.79m,182790000.0
West Ham United,46,€593.20m,593200000.0
Atalanta,47,€417.39m,417390000.0
VfL Wolfsburg,48,€277.48m,277480000.0
Juventus,49,€1.08bn,1080000000.0
Juventus,49,€78.80m,78800000.0
Juventus,49,€38.47m,38470000.0
Torino,50,€197.61m,197610000.0
Sevilla FC,51,€493.08m,493080000.0
Mainz,52,€109.95m,109950000.0
Palmeiras,53,€91.55m,91550000.0
Valencia,54,€285.10m,285100000.0
Lazio,55,€225.78m,225780000.0
Fulham,56,€304.12m,304120000.0
Besiktas,57,€74.12m,74120000.0
Nice,59,€274.73m,274730000.0
VfB Stuttgart,60,€146.75m,146750000.0
Galatasaray,62,€160.89m,160890000.0
AZ,63,€42.22m,42220000.0
Girona FC,64,€39.65m,39650000.0
Real Betis,65,€207.70m,207700000.0
SC Freiburg,66,€95.30m,95300000.0
Flamengo,67,€165.35m,165350000.0
Strasbourg,68,€55.65m,55650000.0
Osasuna,70,€40.05m,40050000.0
Young Boys,71,€36.84m,36840000.0
Getafe,73,€115.45m,115450000.0
AS Monaco,74,€609.95m,609950000.0
Leicester City,75,€477.75m,477750000.0
KAA Gent,76,€89.08m,89080000.0
Reims,77,€84.80m,84800000.0
Bologna,78,€183.53m,183530000.0
Werder Bremen,79,€77.80m,77800000.0
Fenerbahce,80,€148.21m,148210000.0
Monterrey,81,€109.78m,109780000.0
Everton,82,€616.07m,616070000.0
Sassuolo,84,€280.35m,280350000.0
Slavia Prague,85,€48.69m,48690000.0
Braga,86,€71.31m,71310000.0
Burnley,88,€186.29m,186290000.0
Rayo Vallecano,89,€35.90m,35900000.0
Olympiacos,90,€92.12m,92120000.0
Dinamo Zagreb,91,€44.34m,44340000.0
Genk,92,€134.50m,134500000.0
AEK Athens,94,€26.49m,26490000.0
Club Brugge,95,€186.94m,186940000.0
Tigres UANL,96,€90.85m,90850000.0
Toulouse,98,€58.19m,58190000.0
Udinese,99,€172.74m,172740000.0
Mallorca,101,€35.51m,35510000.0
Antwerp,102,€69.81m,69810000.0
AFC Bournemouth,103,€277.25m,277250000.0
Schalke 04,104,€153.88m,153880000.0
CSKA Moscow,105,€84.82m,84820000.0
Wolverhampton,106,€556.36m,556360000.0
Leeds United,107,€378.61m,378610000.0
River Plate,109,€88.64m,88640000.0
