Chelsea FC,€1.49bn
FC Barcelona,€1.15bn
Juventus FC,€1.08bn
Manchester City,€1.03bn
Manchester United,€986.98m
Paris Saint-Germain,€895.50m
Arsenal FC,€839.10m
Atlético de Madrid,€718.15m
AC Milan,€685.00m
Liverpool FC,€674.60m
Real Madrid,€671.75m
Inter Milan,€666.00m
Tottenham Hotspur,€655.80m
Everton FC,€616.07m
AS Monaco,€609.95m
West Ham United,€593.20m
AS Roma,€583.80m
Borussia Dortmund,€566.34m
Wolverhampton Wanderers,€556.36m
Bayern Munich,€540.25m
Newcastle United,€534.00m
SSC Napoli,€522.72m
Aston Villa,€512.69m
Sevilla FC,€493.08m
RB Leipzig,€479.25m
